Scanned At,File Name,Extension,Folder Path,Current Size (MB),Version Count,Versions Size (MB),Total Size (MB)
3/31/2026 20:30,Indonesia NAME.xlsx,xlsx,/sites/H6323_SPOF/DPT-FB,0.02,0,0,100000
3/31/2026 20:30,Updated Leoka Teppanyaki uniform details by item number and product code for your reference and to proceed with the next process please.docx,docx,/sites/H6323_SPOF/DPT-FB,0.022,0,0,0.022
3/31/2026 20:30,Cashier Cash Drop Safe Report.pdf,pdf,/sites/H6323_SPOF/DPT-FB,0.249,0,0,0.249
3/31/2026 20:30,FATHER DAY 2024.csv,csv,/sites/H6323_SPOF/DPT-FB,0.001,2,0.003,0.004
3/31/2026 20:30,nowvem.xlsx,xlsx,/sites/H6323_SPOF/DPT-FB,0.023,0,0,0.023
3/31/2026 20:30,cuisine Green Globe 2025 .pdf,pdf,/sites/H6323_SPOF/DPT-FB,0.37,2,0.741,1.111
3/31/2026 20:30,Visa - The Junction booking list 2024.xlsx,xlsx,/sites/H6323_SPOF/DPT-FB,0.026,0,0,0.026
3/31/2026 20:30,HACCP Audit Action Plan 22072025.xlsx,xlsx,/sites/H6323_SPOF/DPT-FB,5.347,1,5.348,10.695
3/31/2026 20:30,pool.jpg,jpg,/sites/H6323_SPOF/DPT-FB,0.211,0,0,0.211
3/31/2026 20:30,Cuisine Festive 2023 Reservation .xlsx,xlsx,/sites/H6323_SPOF/DPT-FB,0.033,6,0.181,0.214
3/31/2026 20:30,All Dining Cuisine Record 2025(Autosaved).xlsx,xlsx,/sites/H6323_SPOF/DPT-FB,1.891,0,0,1.891
3/31/2026 20:30,Copy of Blank Form.xlsx,xlsx,/sites/H6323_SPOF/DPT-FB,0.02,0,0,0.02
3/31/2026 20:30,Cahsual Novem 2024.xlsx,xlsx,/sites/H6323_SPOF/DPT-FB,0.021,1,0.018,0.039
3/31/2026 20:30,CUISINE FLOOR PLAN 2025.xlsx,xlsx,/sites/H6323_SPOF/DPT-FB,0.171,5,0.85,1.02
3/31/2026 20:30,Cuisine Brunch Soontharaporn 2023Reservation .xlsx,xlsx,/sites/H6323_SPOF/DPT-FB,0.019,2,0.047,0.067
3/31/2026 20:30,"1 Discount,Comp.,Void&Delete.xlsx",xlsx,/sites/H6323_SPOF/DPT-FB,0.092,2,0.181,0.273
3/31/2026 20:30,Record 9  - Food Poisoning Allegation Record - Guest Questionnaire.doc,doc,/sites/H6323_SPOF/DPT-FB,0.083,2,0.164,0.247
