Library Name,Total Items,Size (MB),Size (GB),Last Modified
"DPT-FB",26108,37884.87,36.997,"1/4/2569 15:24:45"
"DPT-FO",75707,48838.54,47.694,"1/4/2569 15:45:23"
"DPT-GL",87698,79303.64,77.445,"1/4/2569 15:45:31"
"DPT-GM",140,597.02,0.583,"1/4/2569 11:31:10"
"DPT-HK",55104,64355.62,62.847,"1/4/2569 15:45:05"
"DPT-HOD",4,0.11,0.000,"6/7/2568 13:23:26"
"DPT-HR",35766,38798.61,37.889,"1/4/2569 13:14:55"
"DPT-IT",27094,15939.10,15.566,"1/4/2569 07:36:42"
"DPT-MK",21,299.84,0.293,"31/3/2569 15:24:26"
"DPT-NA",32390,38081.09,37.189,"1/4/2569 15:17:36"
"DPT-PR",2818,11615.24,11.343,"11/1/2569 00:10:57"
"DPT-RE",25964,13109.16,12.802,"1/4/2569 11:52:30"
"DPT-Reception",7,1.01,0.001,"17/3/2569 19:03:12"
"DPT-RM",8276,20838.29,20.350,"1/4/2569 13:52:40"
"DPT-SC",11050,13194.34,12.850,"1/4/2569 15:46:27"
"DPT-SE",19918,27864.65,27.212,"28/3/2569 14:14:17"
"DPT-SM",87684,125056.43,122.125,"1/4/2569 15:45:48"
"DPT-TE",25722,31110.48,30.381,"1/4/2569 14:35:00"
"DPT-TH",6901,9909.76,9.678,"1/4/2569 15:45:34"
"Forum",20498,44808.71,43.759,"1/4/2569 15:46:45"
"
GRAND TOTAL",648322,740354.50,723.002,""
