﻿Library Name,Total Items,Size (MB),Size (GB),Last Modified
"DPT-FB",26358,26884.82,26.255,"22/4/2569 12:25:17"
"DPT-FO",76852,50102.81,48.929,"22/4/2569 12:35:53"
"DPT-GL",88447,81584.40,79.672,"22/4/2569 12:35:27"
"DPT-GM",152,613.79,0.599,"21/4/2569 11:37:18"
"DPT-HK",55179,45406.34,44.342,"22/4/2569 12:38:00"
"DPT-HR",36034,37675.47,36.792,"22/4/2569 10:23:48"
"DPT-IT",27123,13867.10,13.542,"22/4/2569 12:23:10"
"DPT-MK",25,299.88,0.293,"1/4/2569 17:35:01"
"DPT-Reception",7,1.01,0.001,"17/3/2569 19:03:12"
"DPT-SC",111479,134092.36,130.950,"22/4/2569 12:37:23"
"DPT-SM",88639,129020.89,125.997,"22/4/2569 12:33:21"
"DPT-TE",25957,29562.85,28.870,"21/4/2569 10:49:37"
"DPT-TH",7000,6070.56,5.928,"22/4/2569 12:36:14"
"Forum",20588,37108.27,36.239,"22/4/2569 12:35:53"
"
GRAND TOTAL",563840,592290.55,578.409,""
