Scanned At,File Name,Extension,Folder Path,Current Size (MB),Version Count,Versions Size (MB),Total Size (MB)
"2026-03-31 18:16:51","Amenities.xlsx","xlsx","/sites/H6323_SPOF/Shared Documents","0.015","0","0.000","0.015"
"2026-03-31 18:16:51","SOP HK GN 026 The process of moving trees digging them up and caring for trees.docx","docx","/sites/H6323_SPOF/Shared Documents","0.178","0","0.000","0.178"
"2026-03-31 18:16:51","Floor plan_Eternity_Dinner.pdf","pdf","/sites/H6323_SPOF/Shared Documents","0.055","0","0.000","0.055"
"2026-03-31 18:16:51","Memo งานตัดทิ้งต้นมนต์จำปารากเน่าในสวนโบทานิค.docx","docx","/sites/H6323_SPOF/Shared Documents","9.438","0","0.000","9.438"
"2026-03-31 18:16:51","Internal Extension.xlsx","xlsx","/sites/H6323_SPOF/Shared Documents","0.235","0","0.000","0.235"
"2026-03-31 18:16:51","POOL MENU.docx","docx","/sites/H6323_SPOF/Shared Documents","0.444","0","0.000","0.444"
"2026-03-31 18:16:51","Exe lounge benefit.pdf","pdf","/sites/H6323_SPOF/Shared Documents","0.118","0","0.000","0.118"
"2026-03-31 18:16:51","TARS price update feature.pdf","pdf","/sites/H6323_SPOF/Shared Documents","0.076","0","0.000","0.076"
"2026-03-31 18:16:51","MdacSlip_(EM253812320240420103759).pdf","pdf","/sites/H6323_SPOF/Shared Documents","0.102","0","0.000","0.102"
"2026-03-31 18:16:51","Spoiled Linen - Copy.xlsx","xlsx","/sites/H6323_SPOF/Shared Documents","0.021","0","0.000","0.021"
"2026-03-31 18:16:51","2025 Le spa priority projects per dep.xlsx","xlsx","/sites/H6323_SPOF/Shared Documents","3.513","0","0.000","3.513"
"2026-03-31 18:16:51","Spoiled Linen.xlsx","xlsx","/sites/H6323_SPOF/Shared Documents","0.021","0","0.000","0.021"
"2026-03-31 18:16:51","คำกล่าวพิธีเปิดงาน Bangkok Farewell Party ของรผว. กทม. (รศ.pdf","pdf","/sites/H6323_SPOF/Shared Documents","0.070","0","0.000","0.070"
"2026-03-31 18:16:51","ตัว Master Key 1 กลุ่มไขได้ทุกบานที่ทาง ฤทธาทำ.docx","docx","/sites/H6323_SPOF/Shared Documents","0.141","0","0.000","0.141"
"2026-03-31 18:16:51","Distribution Report JANUARY 2025 as of 29.1.25.xlsx","xlsx","/sites/H6323_SPOF/Shared Documents","0.049","0","0.000","0.049"
"2026-03-31 18:16:51","Romanovs Reservation Updated.xlsx","xlsx","/sites/H6323_SPOF/Shared Documents","0.032","0","0.000","0.032"
"2026-03-31 18:16:52","How to do ACDC.pptx","pptx","/sites/H6323_SPOF/Shared Documents/_RPS Meeting of Monthly","0.711","0","0.000","0.711"
"2026-03-31 18:16:52","Pullman Bangkok King Power Scores (1).pdf","pdf","/sites/H6323_SPOF/Shared Documents/_RPS Meeting of Monthly","1.664","0","0.000","1.664"
"2026-03-31 18:16:53","Banquet long bill Ortho.pdf","pdf","/sites/H6323_SPOF/Shared Documents/1-2 Nov 23 Ortho","1.769","0","0.000","1.769"
"2026-03-31 18:16:53","Flight_OQ Meeting.xlsx","xlsx","/sites/H6323_SPOF/Shared Documents/1-2 Nov 23 Ortho","0.058","1","0.063","0.121"
"2026-03-31 18:16:53","Folio Ortho Clinical period on 31 Oct - 03 Nov 23.pdf","pdf","/sites/H6323_SPOF/Shared Documents/1-2 Nov 23 Ortho","0.085","1","0.084","0.170"
"2026-03-31 18:16:53","Invoice Ortho Clinical period 31 Oct - 3 Nov 23.pdf","pdf","/sites/H6323_SPOF/Shared Documents/1-2 Nov 23 Ortho","0.084","0","0.000","0.084"
"2026-03-31 18:16:53","1268503 Hotel confirmation letter Ms Ajita Baburao Kondalkar on 31 Oct - 03 Nov 23.pdf","pdf","/sites/H6323_SPOF/Shared Documents/1-2 Nov 23 Ortho","0.120","0","0.000","0.120"
"2026-03-31 18:16:53","Banquet revenue_Ortho Clinical period on 1-2 Nov 23.pdf","pdf","/sites/H6323_SPOF/Shared Documents/1-2 Nov 23 Ortho","1.828","1","0.056","1.885"
"2026-03-31 18:16:53","Invoice Ortho Clinical period 31 Oct - 3 Nov 23.xls","xls","/sites/H6323_SPOF/Shared Documents/1-2 Nov 23 Ortho","0.544","7","3.900","4.444"
"2026-03-31 18:16:53","Updated Room List Ortho_31.10.23_.xlsx","xlsx","/sites/H6323_SPOF/Shared Documents/1-2 Nov 23 Ortho","0.049","0","0.000","0.049"
"2026-03-31 18:16:53","Action plan Ortho period 31 Oct - 3 Nov. 23.pdf","pdf","/sites/H6323_SPOF/Shared Documents/1-2 Nov 23 Ortho","0.501","0","0.000","0.501"
"2026-03-31 18:16:53","Agenda Ortho_Final12.10.23.pdf","pdf","/sites/H6323_SPOF/Shared Documents/1-2 Nov 23 Ortho","0.298","0","0.000","0.298"
"2026-03-31 18:16:53","1268502 Hotel confirmation letter for Mr. Anand Pande on 31 Oct - 03 Nov 23.pdf","pdf","/sites/H6323_SPOF/Shared Documents/1-2 Nov 23 Ortho","0.120","0","0.000","0.120"
"2026-03-31 18:16:53","น้ำมันไฮดรอลิค Super HD Trane ISO 32 No.10.docx","docx","/sites/H6323_SPOF/Shared Documents/3.LD Machine quotations","0.502","0","0.000","0.502"
"2026-03-31 18:16:53","Air comp check valve.pdf","pdf","/sites/H6323_SPOF/Shared Documents/3.LD Machine quotations","0.478","0","0.000","0.478"
"2026-03-31 18:16:53","Folding Bearing.docx","docx","/sites/H6323_SPOF/Shared Documents/3.LD Machine quotations","0.623","0","0.000","0.623"
"2026-03-31 18:16:53","Magnet SW.docx","docx","/sites/H6323_SPOF/Shared Documents/3.LD Machine quotations","0.913","0","0.000","0.913"
"2026-03-31 18:16:53","drain valve.pdf","pdf","/sites/H6323_SPOF/Shared Documents/3.LD Machine quotations","0.078","0","0.000","0.078"
"2026-03-31 18:16:53","baht mats.docx","docx","/sites/H6323_SPOF/Shared Documents/3.LD Machine quotations","0.166","0","0.000","0.166"
"2026-03-31 18:16:53","Insulation cover.pdf","pdf","/sites/H6323_SPOF/Shared Documents/3.LD Machine quotations","0.432","0","0.000","0.432"
"2026-03-31 18:16:53","TOYO Ball valve.docx","docx","/sites/H6323_SPOF/Shared Documents/3.LD Machine quotations","0.549","0","0.000","0.549"
"2026-03-31 18:16:54","Folio.pdf","pdf","/sites/H6323_SPOF/Shared Documents/7-10 Dec 23 Tong Fang","0.205","0","0.000","0.205"
"2026-03-31 18:16:54","Invoice  Tong Fang Holiday on 6-10 Dec. 23 as of 4.12.23.pdf","pdf","/sites/H6323_SPOF/Shared Documents/7-10 Dec 23 Tong Fang","0.081","0","0.000","0.081"
"2026-03-31 18:16:54","Accom folio (8).pdf","pdf","/sites/H6323_SPOF/Shared Documents/7-10 Dec 23 Tong Fang","0.080","1","0.080","0.160"
"2026-03-31 18:16:54","Invoice  Tong Fang Holiday on 6-10 Dec. 23 as of 9.12.23.pdf","pdf","/sites/H6323_SPOF/Shared Documents/7-10 Dec 23 Tong Fang","0.081","0","0.000","0.081"
"2026-03-31 18:16:54","Folio no 8.pdf","pdf","/sites/H6323_SPOF/Shared Documents/7-10 Dec 23 Tong Fang","0.080","0","0.000","0.080"
"2026-03-31 18:16:54","upgrade 1740.pdf","pdf","/sites/H6323_SPOF/Shared Documents/7-10 Dec 23 Tong Fang","0.056","0","0.000","0.056"
"2026-03-31 18:16:54","Accom folio.pdf","pdf","/sites/H6323_SPOF/Shared Documents/7-10 Dec 23 Tong Fang","0.205","0","0.000","0.205"
"2026-03-31 18:16:54","Invoice  Tong Fang Holiday on 6-10 Dec. 23 as of 4.12.23.xlsx","xlsx","/sites/H6323_SPOF/Shared Documents/7-10 Dec 23 Tong Fang","0.134","3","0.402","0.536"
"2026-03-31 18:16:54","ROOM SKY MAVIS 4.12.23.xlsx","xlsx","/sites/H6323_SPOF/Shared Documents/7-10 Dec 23 Tong Fang","0.630","0","0.000","0.630"
"2026-03-31 18:16:54","Invoice  APCOM Secretariat (5-9 Dec 2023) as of 13.12.23 .pdf","pdf","/sites/H6323_SPOF/Shared Documents/8-10 Dec 23 APCOM","0.081","0","0.000","0.081"
"2026-03-31 18:16:54","Accommodation APCOM.pdf","pdf","/sites/H6323_SPOF/Shared Documents/8-10 Dec 23 APCOM","0.062","0","0.000","0.062"
"2026-03-31 18:16:54","APCOM Secretariat PM9144.pdf","pdf","/sites/H6323_SPOF/Shared Documents/8-10 Dec 23 APCOM","0.094","0","0.000","0.094"
"2026-03-31 18:16:54","BQ APCOM.pdf","pdf","/sites/H6323_SPOF/Shared Documents/8-10 Dec 23 APCOM","0.056","0","0.000","0.056"
"2026-03-31 18:16:54","Accommodation APCOM-Update 9144..pdf","pdf","/sites/H6323_SPOF/Shared Documents/8-10 Dec 23 APCOM","0.062","0","0.000","0.062"
"2026-03-31 18:16:54","Invoice  APCOM Secretariat (5-9 Dec 2023) .xlsx","xlsx","/sites/H6323_SPOF/Shared Documents/8-10 Dec 23 APCOM","0.133","1","0.136","0.269"
"2026-03-31 18:16:54","Accommodation 9144.pdf","pdf","/sites/H6323_SPOF/Shared Documents/8-10 Dec 23 APCOM","0.056","0","0.000","0.056"
"2026-03-31 18:16:54","Invoice  APCOM Secretariat (5-9 Dec 2023) as of 5.12.23.pdf","pdf","/sites/H6323_SPOF/Shared Documents/8-10 Dec 23 APCOM","0.037","0","0.000","0.037"
"2026-03-31 18:16:54","15 DEC 2023_APSCO Accommodation.pdf","pdf","/sites/H6323_SPOF/Shared Documents/8-17 Dec 23 APSCO","0.094","0","0.000","0.094"
"2026-03-31 18:16:54","Invoice  APSCO period 8-17 Dec 23.xlsx","xlsx","/sites/H6323_SPOF/Shared Documents/8-17 Dec 23 APSCO","0.143","6","1.017","1.160"
"2026-03-31 18:16:54","Slide3.JPG","jpg","/sites/H6323_SPOF/Shared Documents/12.06.24","0.061","0","0.000","0.061"
"2026-03-31 18:16:54","Slide1.JPG","jpg","/sites/H6323_SPOF/Shared Documents/12.06.24","0.061","0","0.000","0.061"
