﻿Scanned At,Library,File Name,Extension,Folder Path,Current Size (MB),Version Count,Versions Size (MB),Total Size (MB)
"2026-04-22 08:48:23","DPT-MK","dashboard.html","html","/sites/H6323_SPOF/DPT-MK","0.008","0","0.000","0.008"
"2026-04-22 08:48:23","DPT-MK","dashboard - Copy.html","html","/sites/H6323_SPOF/DPT-MK","0.010","0","0.000","0.010"
"2026-04-22 08:48:23","DPT-MK","StorageDashboard.txt","txt","/sites/H6323_SPOF/DPT-MK","0.010","0","0.000","0.010"
"2026-04-22 08:48:23","DPT-MK","Book.xlsx","xlsx","/sites/H6323_SPOF/DPT-MK","0.013","1","0.013","0.027"
"2026-04-22 08:48:23","DPT-MK","SPOF_Dashboard_Test.aspx","aspx","/sites/H6323_SPOF/DPT-MK","0.012","0","0.000","0.012"
"2026-04-22 08:48:23","DPT-MK","Write off LCD Projector 2025 (1).xls","xls","/sites/H6323_SPOF/DPT-MK","298.086","0","0.000","298.086"
"2026-04-22 08:48:23","DPT-MK","Document.docx","docx","/sites/H6323_SPOF/DPT-MK","0.021","0","0.000","0.021"
"2026-04-22 08:48:24","DPT-MK","Book- Folder 99.xlsx","xlsx","/sites/H6323_SPOF/DPT-MK/Folder 1","0.013","2","0.027","0.040"
"2026-04-22 08:48:24","DPT-MK","Presentation.pptx","pptx","/sites/H6323_SPOF/DPT-MK/Folder 1","0.040","1","0.037","0.077"
"2026-04-22 08:48:24","DPT-MK","Document-Folder 1.docx","docx","/sites/H6323_SPOF/DPT-MK/Folder 1","0.020","1","0.019","0.039"
"2026-04-22 08:48:24","DPT-MK","Book-999.xlsx","xlsx","/sites/H6323_SPOF/DPT-MK/Folder 9","0.013","0","0.000","0.013"
"2026-04-22 08:48:24","DPT-MK","999asds.pptx","pptx","/sites/H6323_SPOF/DPT-MK/Folder 9","0.036","0","0.000","0.036"
"2026-04-22 08:48:24","DPT-MK","DPT-MK.xlsx","xlsx","/sites/H6323_SPOF/DPT-MK/Test Version","0.013","1","0.013","0.027"
"2026-04-22 08:48:24","DPT-MK","Test2.xlsx","xlsx","/sites/H6323_SPOF/DPT-MK/Test Version","0.013","1","0.013","0.025"
"2026-04-22 08:48:24","DPT-MK","Test 1.xlsx","xlsx","/sites/H6323_SPOF/DPT-MK/Test Version","0.013","1","0.013","0.026"
"2026-04-22 08:48:25","DPT-MK","Document.docx","docx","/sites/H6323_SPOF/DPT-MK/Folder 1/trest","0.020","1","0.018","0.038"
"2026-04-22 08:48:25","DPT-MK","Book.xlsx","xlsx","/sites/H6323_SPOF/DPT-MK/Folder 1/trest/Test 3","0.013","1","0.014","0.027"
"2026-04-22 08:48:26","DPT-MK","Presentation.pptx","pptx","/sites/H6323_SPOF/DPT-MK/Folder 1/trest/Test 3/TEst4","0.042","1","0.037","0.079"
