﻿Scanned At,Library,File Name,Extension,Folder Path,Current Size (MB),Version Count,Versions Size (MB),Total Size (MB),Last Datetime of Original Version,First Datetime of History Version
"2026-04-22 11:30:55","DPT-MK","dashboard.html","html","/sites/H6323_SPOF/DPT-MK","0.008","0","0.000","0.008","2026-04-01 17:04:46",""
"2026-04-22 11:30:55","DPT-MK","dashboard - Copy.html","html","/sites/H6323_SPOF/DPT-MK","0.010","0","0.000","0.010","2026-04-01 17:35:01",""
"2026-04-22 11:30:55","DPT-MK","StorageDashboard.txt","txt","/sites/H6323_SPOF/DPT-MK","0.010","0","0.000","0.010","2026-04-01 16:25:14",""
"2026-04-22 11:30:55","DPT-MK","Book.xlsx","xlsx","/sites/H6323_SPOF/DPT-MK","0.013","1","0.013","0.027","2026-03-31 15:09:50","2026-03-17 14:06:08"
"2026-04-22 11:30:55","DPT-MK","SPOF_Dashboard_Test.aspx","aspx","/sites/H6323_SPOF/DPT-MK","0.012","0","0.000","0.012","2026-04-01 16:16:55",""
"2026-04-22 11:30:55","DPT-MK","Write off LCD Projector 2025 (1).xls","xls","/sites/H6323_SPOF/DPT-MK","298.086","0","0.000","298.086","2026-03-31 15:18:40",""
"2026-04-22 11:30:55","DPT-MK","Document.docx","docx","/sites/H6323_SPOF/DPT-MK","0.021","0","0.000","0.021","2026-03-17 16:41:34",""
"2026-04-22 11:30:56","DPT-MK","Book- Folder 99.xlsx","xlsx","/sites/H6323_SPOF/DPT-MK/Folder 1","0.013","2","0.027","0.040","2026-03-17 16:42:18","2026-03-17 16:42:07"
"2026-04-22 11:30:56","DPT-MK","Presentation.pptx","pptx","/sites/H6323_SPOF/DPT-MK/Folder 1","0.040","1","0.037","0.077","2026-03-17 16:43:42","2026-03-17 16:43:29"
"2026-04-22 11:30:56","DPT-MK","Document-Folder 1.docx","docx","/sites/H6323_SPOF/DPT-MK/Folder 1","0.020","1","0.019","0.039","2026-03-17 16:43:14","2026-03-17 16:43:03"
"2026-04-22 11:30:56","DPT-MK","Book-999.xlsx","xlsx","/sites/H6323_SPOF/DPT-MK/Folder 9","0.013","0","0.000","0.013","2026-03-17 16:45:03",""
"2026-04-22 11:30:56","DPT-MK","999asds.pptx","pptx","/sites/H6323_SPOF/DPT-MK/Folder 9","0.036","0","0.000","0.036","2026-03-17 16:45:20",""
"2026-04-22 11:30:56","DPT-MK","DPT-MK.xlsx","xlsx","/sites/H6323_SPOF/DPT-MK/Test Version","0.013","1","0.013","0.027","2026-03-24 15:14:00","2026-03-24 15:03:02"
"2026-04-22 11:30:56","DPT-MK","Test2.xlsx","xlsx","/sites/H6323_SPOF/DPT-MK/Test Version","0.013","1","0.013","0.025","2026-03-24 15:03:54","2026-03-24 15:02:57"
"2026-04-22 11:30:56","DPT-MK","Test 1.xlsx","xlsx","/sites/H6323_SPOF/DPT-MK/Test Version","0.013","1","0.013","0.026","2026-03-24 15:04:02","2026-03-24 15:02:51"
"2026-04-22 11:30:57","DPT-MK","Document.docx","docx","/sites/H6323_SPOF/DPT-MK/Folder 1/trest","0.020","1","0.018","0.038","2026-03-23 16:18:16","2026-03-23 16:18:09"
"2026-04-22 11:30:58","DPT-MK","Book.xlsx","xlsx","/sites/H6323_SPOF/DPT-MK/Folder 1/trest/Test 3","0.013","1","0.014","0.027","2026-03-23 16:18:39","2026-03-23 16:18:29"
"2026-04-22 11:30:58","DPT-MK","Presentation.pptx","pptx","/sites/H6323_SPOF/DPT-MK/Folder 1/trest/Test 3/TEst4","0.042","1","0.037","0.079","2026-03-23 16:19:01","2026-03-23 16:18:43"
