Library,File Name,Extension,Folder Path,Current Size (MB),Version Count,Versions Size (MB),Total Size (MB),Last Datetime of Original Version,First Datetime of History Version,Age (Years),Priority,Recommended Action,Reason,Scanned At
DPT-SC,2025 Business Plan & Hotel Performance 2024 .pptx,pptx,/sites/H6323_SPOF/DPT-SC/Kick Off 2026,121.257,0,0.0,121.257,2025-12-05 17:40:44,-,0.4,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 09:12:13
DPT-SC,2026 Pullman BKK King Power Businesss Plan and 2025 perfromance - Duke.pptx,pptx,/sites/H6323_SPOF/DPT-SC/Kick Off 2026,57.963,4,231.778,289.741,2025-12-13 15:35:43,2025-12-06 11:24:14,0.4,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB | Versions Size > 100 MB,2026-05-07 09:12:13
DPT-SC,PBKP_Coffee Break Rotation.pptx,pptx,/sites/H6323_SPOF/DPT-SC/Karn Karn/1. Menu,78.086,4,259.89,337.976,2025-07-30 11:38:07,2025-04-21 17:18:37,0.8,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB | Versions Size > 100 MB,2026-05-07 09:13:12
DPT-SC,PBKP_New Coffee Break Rotation.pptx,pptx,/sites/H6323_SPOF/DPT-SC/Karn Karn/1. Menu,50.687,4,146.332,197.019,2026-01-09 15:03:49,2025-11-01 17:18:57,0.3,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB | Versions Size > 100 MB,2026-05-07 09:13:12
DPT-SC,ก้านบัว.pptx,pptx,/sites/H6323_SPOF/DPT-SC/Karn Karn/2. Signage,16.339,6,96.791,113.13,2026-04-22 17:38:56,2025-12-04 09:37:04,0.0,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 09:13:12
DPT-SC,2026_Actual report_as of 27.04.2026.xlsx,xlsx,/sites/H6323_SPOF/DPT-SC/Report/2026,19.406,14,269.928,289.334,2026-05-06 14:59:55,2026-04-30 18:29:03,0.0,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB | Versions Size > 100 MB,2026-05-07 09:13:32
DPT-SC,Floor Plan Bible as of 2025.pptx,pptx,/sites/H6323_SPOF/DPT-SC/Room Plan/All floor plan,57.623,3,159.827,217.45,2026-03-31 14:06:13,2026-02-26 09:44:18,0.1,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB | Versions Size > 100 MB,2026-05-07 09:13:47
DPT-SC,same sex marriage @Pullman Bangkok King Power.mp4,mp4,/sites/H6323_SPOF/DPT-SC/Mook Chonthicha/Wedding/same sex marriage VDO,142.579,0,0.0,142.579,2026-03-02 16:48:33,-,0.2,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 09:16:43
DPT-SC,2025_Actual report (update 1.1.2026).xlsx,xlsx,/sites/H6323_SPOF/DPT-SC/Report/2023 - 2025/2025,43.286,2,86.182,129.468,2026-02-02 14:42:02,2026-01-05 10:54:18,0.3,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 09:17:04
DPT-SC,2026_Actual report_as of 30.03.2026..xlsx,xlsx,/sites/H6323_SPOF/DPT-SC/Report/2026/ไฟล์สำรอง,5.027,30,153.061,158.088,2026-04-07 10:56:04,2026-04-01 09:13:44,0.1,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB | Versions Size > 100 MB,2026-05-07 09:17:04
DPT-SC,2026_Actual report_as of 27.02.2026.xlsx,xlsx,/sites/H6323_SPOF/DPT-SC/Report/2026/ไฟล์สำรอง,4.786,30,143.263,148.049,2026-03-20 13:26:31,2026-03-13 17:43:08,0.1,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB | Versions Size > 100 MB,2026-05-07 09:17:04
DPT-SC,2026_Actual report...xlsx,xlsx,/sites/H6323_SPOF/DPT-SC/Report/2026/ไฟล์สำรอง,29.564,4,118.154,147.718,2026-01-23 10:55:12,2026-01-23 08:42:10,0.3,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB | Versions Size > 100 MB,2026-05-07 09:17:04
