Scanned At,Library,File Name,Extension,Folder Path,Current Size (MB),Version Count,Versions Size (MB),Total Size (MB)
"2026-04-02 23:39:54","DPT-FB","Indonesia NAME.xlsx","xlsx","/sites/H6323_SPOF/DPT-FB","0.020","0","0.000","0.020"
"2026-04-02 23:39:54","DPT-FB","Updated Leoka Teppanyaki uniform details by item number and product code for your reference and to proceed with the next process please.docx","docx","/sites/H6323_SPOF/DPT-FB","0.022","0","0.000","0.022"
"2026-04-02 23:39:54","DPT-FB","Cashier Cash Drop Safe Report.pdf","pdf","/sites/H6323_SPOF/DPT-FB","0.249","0","0.000","0.249"
"2026-04-02 23:39:54","DPT-FB","FATHER DAY 2024.csv","csv","/sites/H6323_SPOF/DPT-FB","0.001","2","0.003","0.004"
"2026-04-02 23:39:54","DPT-FB","nowvem.xlsx","xlsx","/sites/H6323_SPOF/DPT-FB","0.023","0","0.000","0.023"
"2026-04-02 23:39:54","DPT-FB","cuisine Green Globe 2025 .pdf","pdf","/sites/H6323_SPOF/DPT-FB","0.370","2","0.741","1.111"
"2026-04-02 23:39:54","DPT-FB","Visa - The Junction booking list 2024.xlsx","xlsx","/sites/H6323_SPOF/DPT-FB","0.026","0","0.000","0.026"
"2026-04-02 23:39:54","DPT-FB","HACCP Audit Action Plan 22072025.xlsx","xlsx","/sites/H6323_SPOF/DPT-FB","5.347","1","5.348","10.695"
"2026-04-02 23:39:54","DPT-FB","pool.jpg","jpg","/sites/H6323_SPOF/DPT-FB","0.211","0","0.000","0.211"
"2026-04-02 23:39:54","DPT-FB","Cuisine Festive 2023 Reservation .xlsx","xlsx","/sites/H6323_SPOF/DPT-FB","0.033","0","0.000","0.033"
"2026-04-02 23:39:54","DPT-FB","All Dining Cuisine Record 2025(Autosaved).xlsx","xlsx","/sites/H6323_SPOF/DPT-FB","1.891","0","0.000","1.891"
"2026-04-02 23:39:54","DPT-FB","Copy of Blank Form.xlsx","xlsx","/sites/H6323_SPOF/DPT-FB","0.020","0","0.000","0.020"
"2026-04-02 23:39:54","DPT-FB","Cahsual Novem 2024.xlsx","xlsx","/sites/H6323_SPOF/DPT-FB","0.021","0","0.000","0.021"
"2026-04-02 23:39:54","DPT-FB","CUISINE FLOOR PLAN 2025.xlsx","xlsx","/sites/H6323_SPOF/DPT-FB","0.171","4","0.681","0.851"
"2026-04-02 23:39:54","DPT-FB","Cuisine Brunch Soontharaporn 2023Reservation .xlsx","xlsx","/sites/H6323_SPOF/DPT-FB","0.019","0","0.000","0.019"
"2026-04-02 23:39:54","DPT-FB","1 Discount,Comp.,Void&Delete.xlsx","xlsx","/sites/H6323_SPOF/DPT-FB","0.092","0","0.000","0.092"
