Scanned At,Library,File Name,Extension,Folder Path,Current Size (MB),Version Count,Versions Size (MB),Total Size (MB)
"2026-04-07 07:46:52","DPT-RM","New  Template RM_Pullman Bangkok King Power-updated.as of 13.03.25.V.3pptx.pptx","pptx","/sites/H6323_SPOF/DPT-RM","15.606","0","0.000","15.606"
"2026-04-07 07:46:52","DPT-RM","Infor EzRMS  Agent not sync to EZRMS 21.5.24.V.2 .xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S","0.064","0","0.000","0.064"
"2026-04-07 07:46:52","DPT-RM","Cancellation Tracking Pullman Bangkok King Power - 2026 03 27.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S","0.032","0","0.000","0.032"
"2026-04-07 07:46:52","DPT-RM","REV-RL Grid - ALL BRANDS AUG18.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S","0.116","0","0.000","0.116"
"2026-04-07 07:46:52","DPT-RM","REVMAX 21.08.25.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S","0.122","2","0.241","0.362"
"2026-04-07 07:46:52","DPT-RM","REVMAX Luxury escape reservations_summary_report.csv","csv","/sites/H6323_SPOF/DPT-RM/CHALIDA S","0.051","0","0.000","0.051"
"2026-04-07 07:46:52","DPT-RM","PASSWORD.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S","0.031","4","0.126","0.157"
"2026-04-07 07:46:52","DPT-RM","JUNE.docx","docx","/sites/H6323_SPOF/DPT-RM/CHALIDA S","0.095","0","0.000","0.095"
"2026-04-07 07:46:52","DPT-RM","ma photos.jpg","jpg","/sites/H6323_SPOF/DPT-RM/CHALIDA S","3.630","0","0.000","3.630"
"2026-04-07 07:46:52","DPT-RM","H6323-MB Package update  2024-10-07.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S","0.297","0","0.000","0.297"
"2026-04-07 07:46:52","DPT-RM","HCM corretion needed on bathrom feature.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S","0.149","0","0.000","0.149"
"2026-04-07 07:46:52","DPT-RM","Nationality.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S","0.054","0","0.000","0.054"
"2026-04-07 07:46:52","DPT-RM","000_Promotion Updated .xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S","0.065","0","0.000","0.065"
"2026-04-07 07:46:52","DPT-RM","OneDrive - ACCOR - Shortcut.lnk","lnk","/sites/H6323_SPOF/DPT-RM/CHALIDA S","0.001","0","0.000","0.001"
"2026-04-07 07:46:52","DPT-RM","HODs KickOff meeting Revenue,Sales & Events-Key Highlight strategy 2026.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S","2.749","0","0.000","2.749"
"2026-04-07 07:46:52","DPT-RM","Relocation 2025.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S","0.036","2","0.075","0.111"
"2026-04-07 07:46:52","DPT-RM","4 April 2026 Guest Room Inspection List .xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/EOD","0.032","2","0.064","0.096"
"2026-04-07 07:46:52","DPT-RM","31 January 2026 Guest Room Inspection List .xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/EOD","0.032","3","0.098","0.130"
"2026-04-07 07:46:52","DPT-RM","4 April 2026 EOD Chalida -.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/EOD","0.417","5","1.893","2.311"
"2026-04-07 07:46:52","DPT-RM","31 January 2026 EOD Chalida.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/EOD","0.321","2","1.042","1.363"
"2026-04-07 07:46:53","DPT-RM","DPT-RM.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/Test Version","0.013","3","0.039","0.052"
"2026-04-07 07:46:53","DPT-RM","[EN] OPERA - PMS Golden - One pager.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ASANA PROJECT","0.298","0","0.000","0.298"
"2026-04-07 07:46:53","DPT-RM","Learning Journey - v23072024 - Full Select.jpeg","jpeg","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ASANA PROJECT","1.722","0","0.000","1.722"
"2026-04-07 07:46:53","DPT-RM","2025 Business Plan_KickOff_Mar 7 V.1.pptx","pptx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Board Meeting","13.291","0","0.000","13.291"
"2026-04-07 07:46:53","DPT-RM","Revenue  Reservation  _Organization Chart.pptx","pptx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Board Meeting","1.055","0","0.000","1.055"
"2026-04-07 07:46:53","DPT-RM","HOD template fileIV.4.5.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Board Meeting","16.951","0","0.000","16.951"
"2026-04-07 07:46:53","DPT-RM","2025 - BUDGET Presentation Ver3 Y 2025..xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Board Meeting","1.089","0","0.000","1.089"
"2026-04-07 07:46:53","DPT-RM","Business Plan 2024_Pullman BKK King Power.pptx","pptx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Board Meeting","6.934","0","0.000","6.934"
"2026-04-07 07:46:53","DPT-RM","RM_ Board_Pullman Bangkok King Power.pptx","pptx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Board Meeting","3.608","0","0.000","3.608"
"2026-04-07 07:46:53","DPT-RM","2025 Business Plan_KickOff_Mar 7 V.2.pptx","pptx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Board Meeting","13.292","0","0.000","13.292"
"2026-04-07 07:46:53","DPT-RM","2022 - BUDGET Presentation Ver2 Y 2022.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Board Meeting","0.931","0","0.000","0.931"
"2026-04-07 07:46:53","DPT-RM","2023 - BUDGET Presentation Ver3 Y 2023.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Board Meeting","1.074","0","0.000","1.074"
"2026-04-07 07:46:53","DPT-RM","HOD template fileIV.4.6.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Board Meeting","17.846","4","69.061","86.907"
"2026-04-07 07:46:53","DPT-RM","2023 - BUDGET Presentation Ver2 Y 2023.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Board Meeting","1.013","0","0.000","1.013"
"2026-04-07 07:46:53","DPT-RM","2022 - BUDGET Presentation Ver2 20.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Board Meeting","0.381","0","0.000","0.381"
"2026-04-07 07:46:53","DPT-RM","SOJERN.pptx","pptx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Board Meeting","0.819","0","0.000","0.819"
"2026-04-07 07:46:53","DPT-RM","Thai Tiew Thai Breakdown .xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Breakdown","0.021","0","0.000","0.021"
"2026-04-07 07:46:53","DPT-RM","ROOM BREAKDOWN AIR BUSAN 2024.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Breakdown","0.024","0","0.000","0.024"
"2026-04-07 07:46:53","DPT-RM","INDIGO BREAKDOWN.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Breakdown","0.023","0","0.000","0.023"
"2026-04-07 07:46:53","DPT-RM","ROOM BREAKDOWN Chef Nat.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Breakdown","0.022","0","0.000","0.022"
"2026-04-07 07:46:53","DPT-RM","ROOM BREAKDOWN LUXURY.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Breakdown","0.033","9","0.429","0.462"
