Scanned At,File Name,Extension,Folder Path,Current Size (MB),Version Count,Versions Size (MB),Total Size (MB)
"2026-03-31 22:32:26","TRIPADVISOR AND GOOGLE MY BUSSINESS REVIEW.pptx","pptx","/sites/H6323_SPOF/DPT-TH","9.854","2","19.708","29.561"
"2026-03-31 22:32:26","24012024 of Pullman KP - Voucher Products TTT69 Feb 2024 (1).xlsx","xlsx","/sites/H6323_SPOF/DPT-TH","0.146","1","0.145","0.291"
"2026-03-31 22:32:26","Probation .xlsx","xlsx","/sites/H6323_SPOF/DPT-TH","0.017","2","0.036","0.053"
"2026-03-31 22:32:26","Training Plan of March 2025 .xlsx","xlsx","/sites/H6323_SPOF/DPT-TH","0.017","3","0.075","0.092"
"2026-03-31 22:32:26","COMPLIMENTARY Neck & Shoulder Massage .docx","docx","/sites/H6323_SPOF/DPT-TH","0.424","0","0.000","0.424"
"2026-03-31 22:32:26","Canteen menu Feb 2025.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH","0.024","0","0.000","0.024"
"2026-03-31 22:32:26","BVLGARI Chat.txt","txt","/sites/H6323_SPOF/DPT-TH","0.001","0","0.000","0.001"
"2026-03-31 22:32:26","SpaConsignmentDumdrocTrading 20Nov23.pdf","pdf","/sites/H6323_SPOF/DPT-TH","1.057","0","0.000","1.057"
"2026-03-31 22:32:26","Off Peak Time.docx","docx","/sites/H6323_SPOF/DPT-TH","0.096","0","0.000","0.096"
"2026-03-31 22:32:26","REVISE SOP-FITNESS AllSAFE.doc","doc","/sites/H6323_SPOF/DPT-TH","1.231","0","0.000","1.231"
"2026-03-31 22:32:26","Training Plan 2024.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH","0.036","0","0.000","0.036"
"2026-03-31 22:32:27","50 SPA-B2025V4.0.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/2.Budget 2025","0.093","0","0.000","0.093"
"2026-03-31 22:32:27","Le Spa August 2024.pptx","pptx","/sites/H6323_SPOF/DPT-TH/4.Board meeting","1.899","1","1.905","3.804"
"2026-03-31 22:32:27","~$Spa Flash sale Foot and Massage 28 Oct-5 Nov'21.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/5.Spa Report","0.000","0","0.000","0.000"
"2026-03-31 22:32:27","GoWabi.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/5.Spa Report","0.135","30","3.898","4.032"
"2026-03-31 22:32:27","รายการอาหาร เดือน กรกฎาคม 68.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/5.Spa Report","0.022","6","0.129","0.152"
"2026-03-31 22:32:27","~$Format.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/5.Spa Report","0.000","0","0.000","0.000"
"2026-03-31 22:32:27","~$Spa Flash sale Foot and Massage 25 Nov-03 Dec'21.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/5.Spa Report","0.000","0","0.000","0.000"
"2026-03-31 22:32:27","Format.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/5.Spa Report","0.253","30","8.325","8.577"
"2026-03-31 22:32:27","~$Spa Flash sale THB350 Sep' 21-Mar' 22.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/5.Spa Report","0.000","0","0.000","0.000"
"2026-03-31 22:32:27","ยอดขาย Foot Massage.xls","xls","/sites/H6323_SPOF/DPT-TH/5.Spa Report","0.149","1","0.143","0.292"
"2026-03-31 22:32:27","Format-W-AA-H6323-TH1.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/5.Spa Report","1.037","0","0.000","1.037"
"2026-03-31 22:32:27","Le Spa Menu .pdf","pdf","/sites/H6323_SPOF/DPT-TH/5.Spa Report","0.760","0","0.000","0.760"
"2026-03-31 22:32:27","204980_Pullman Template Transaction For SV Group.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/5.Spa Report","0.143","2","0.281","0.424"
"2026-03-31 22:32:27","Log book label.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/5.Spa Report","0.047","3","0.150","0.197"
"2026-03-31 22:32:28","PULLMAN BRAND ESSENTIALS - CORE + BASIC (FINAL_JUL 2016).xlsm","xlsm","/sites/H6323_SPOF/DPT-TH/6.SPA","3.678","1","3.771","7.449"
"2026-03-31 22:32:28","Spa Presentation 2025.pptx","pptx","/sites/H6323_SPOF/DPT-TH/6.SPA","10.718","0","0.000","10.718"
"2026-03-31 22:32:28","TRIPADVISOR AND GOOGLE MY BUSSINESS REVIEW.pptx","pptx","/sites/H6323_SPOF/DPT-TH/6.SPA","9.857","0","0.000","9.857"
"2026-03-31 22:32:28","2025 Spa presentations.pptx","pptx","/sites/H6323_SPOF/DPT-TH/6.SPA","39.213","0","0.000","39.213"
"2026-03-31 22:32:28","Fitness check list_V. Eng.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/6.SPA","0.019","5","0.108","0.128"
"2026-03-31 22:32:28","2025  Spa presentations  - Copy.pptx","pptx","/sites/H6323_SPOF/DPT-TH/6.SPA","39.213","1","39.213","78.425"
"2026-03-31 22:32:28","HHTL APAC Hotel Questionnaire 2015 (2).xls","xls","/sites/H6323_SPOF/DPT-TH/6.SPA","0.337","2","0.696","1.034"
"2026-03-31 22:32:28","2025  Le spa ops presentations.pptx","pptx","/sites/H6323_SPOF/DPT-TH/6.SPA","35.537","0","0.000","35.537"
"2026-03-31 22:32:28","2025 Le spa  priority projects per dep .xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/6.SPA","3.511","2","7.024","10.534"
"2026-03-31 22:32:28","Review Le Spa by Bangkok Post.pdf","pdf","/sites/H6323_SPOF/DPT-TH/6.SPA","0.836","0","0.000","0.836"
"2026-03-31 22:32:28","Review at Le Spa by Voyage Magazine.pdf","pdf","/sites/H6323_SPOF/DPT-TH/6.SPA","1.667","0","0.000","1.667"
"2026-03-31 22:32:28","2025.04  Spa presentations .pptx","pptx","/sites/H6323_SPOF/DPT-TH/6.SPA","39.648","8","310.715","350.363"
"2026-03-31 22:32:28","Spa Promotion Action Paln May - June 2025  by Cost.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/6.SPA","0.137","1","0.139","0.275"
"2026-03-31 22:32:28","Green Globe.docx","docx","/sites/H6323_SPOF/DPT-TH/6.SPA","0.024","0","0.000","0.024"
"2026-03-31 22:32:28","บันทึกรายการประมวลผลข้อมูลส่วนบุคคล - LeSPA 2026.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/7.บันทึกรายการประมวลผลข้อมูลส่วนบุคคล","0.076","30","2.259","2.335"
"2026-03-31 22:32:28","Master บันทึกรายการประมวลผลข้อมูลส่วนบุคคล - LeSPA .xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/7.บันทึกรายการประมวลผลข้อมูลส่วนบุคคล","0.071","2","0.139","0.209"
"2026-03-31 22:32:28","Fitness check list_V. Eng.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/8. Fitness","0.020","0","0.000","0.020"
"2026-03-31 22:32:28","Fitness maintenance.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/8. Fitness","0.021","2","0.046","0.068"
"2026-03-31 22:32:28","Fitness Rules & Regulation.doc","doc","/sites/H6323_SPOF/DPT-TH/8. Fitness","0.039","0","0.000","0.039"
"2026-03-31 22:32:28","Fitness Membership compare rate.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/8. Fitness","0.019","2","0.035","0.054"
"2026-03-31 22:32:28","Fitness bag usage.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/8. Fitness","0.015","1","0.021","0.037"
"2026-03-31 22:32:28","Fitness Rules & Regulations.doc","doc","/sites/H6323_SPOF/DPT-TH/8. Fitness","0.305","0","0.000","0.305"
"2026-03-31 22:32:28","Fitness.pdf","pdf","/sites/H6323_SPOF/DPT-TH/8. Fitness","1.198","0","0.000","1.198"
"2026-03-31 22:32:28","Fitness floor 11 Nov 16.pdf","pdf","/sites/H6323_SPOF/DPT-TH/8. Fitness","0.166","0","0.000","0.166"
"2026-03-31 22:32:28","SYNRGY360-Fundamentals-Training Manuals.pdf","pdf","/sites/H6323_SPOF/DPT-TH/8. Fitness","6.795","0","0.000","6.795"
"2026-03-31 22:32:28","Fitness-checklist updated 2026.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/8. Fitness","0.036","1","0.036","0.072"
"2026-03-31 22:32:28","9. Fitness center.pdf","pdf","/sites/H6323_SPOF/DPT-TH/8. Fitness","2.594","0","0.000","2.594"
"2026-03-31 22:32:28","Fitness equipment.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/8. Fitness","1.380","4","5.529","6.909"
"2026-03-31 22:32:28","Fitness Check List.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/8. Fitness","0.018","2","0.040","0.058"
"2026-03-31 22:32:28","Fitness equipment defect.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/8. Fitness","2.781","3","9.194","11.976"
"2026-03-31 22:32:28","Register form.xls","xls","/sites/H6323_SPOF/DPT-TH/8. Fitness","0.052","1","0.051","0.103"
"2026-03-31 22:32:28","Therapist Task List.doc","doc","/sites/H6323_SPOF/DPT-TH/9.1 Senior Therapist Supervisor","0.059","0","0.000","0.059"
"2026-03-31 22:32:28","SPA_JD.xls","xls","/sites/H6323_SPOF/DPT-TH/9.1 Senior Therapist Supervisor","0.254","0","0.000","0.254"
"2026-03-31 22:32:28","Training Plan 2025.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/9.1 Senior Therapist Supervisor","0.037","0","0.000","0.037"
"2026-03-31 22:32:28","ตัวอย่างตอบเมล.docx","docx","/sites/H6323_SPOF/DPT-TH/9.1 Senior Therapist Supervisor","0.584","9","1.644","2.229"
"2026-03-31 22:32:28","TRIPADVISOR AND GOOGLE MY BUSSINESS REVIEW.pptx","pptx","/sites/H6323_SPOF/DPT-TH/9.1 Senior Therapist Supervisor","9.857","0","0.000","9.857"
"2026-03-31 22:32:28","KK Day.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/9.1 Senior Therapist Supervisor","0.022","0","0.000","0.022"
"2026-03-31 22:32:28","Treatment room  check list.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/9.1 Senior Therapist Supervisor","0.054","26","1.307","1.360"
"2026-03-31 22:32:28","Training need analysis.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/9.1 Senior Therapist Supervisor","0.019","0","0.000","0.019"
"2026-03-31 22:32:28","Attendant Task List.doc","doc","/sites/H6323_SPOF/DPT-TH/9.1 Senior Therapist Supervisor","0.097","0","0.000","0.097"
"2026-03-31 22:32:28","supplier.xls","xls","/sites/H6323_SPOF/DPT-TH/9.1 Senior Therapist Supervisor","0.054","3","0.162","0.216"
"2026-03-31 22:32:28","Quatation A1 Spa Oct 2025.pdf","pdf","/sites/H6323_SPOF/DPT-TH/9.1 Senior Therapist Supervisor","0.840","1","0.840","1.680"
"2026-03-31 22:32:28","หน้าที่Therapist .doc","doc","/sites/H6323_SPOF/DPT-TH/9.1 Senior Therapist Supervisor","0.041","1","0.040","0.081"
"2026-03-31 22:32:28","Le Spa Menu .pdf","pdf","/sites/H6323_SPOF/DPT-TH/9.1 Senior Therapist Supervisor","0.760","0","0.000","0.760"
"2026-03-31 22:32:28","2025 - gowabi rates.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/9.1 Senior Therapist Supervisor","0.049","0","0.000","0.049"
"2026-03-31 22:32:28","Massage Oil.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/9.1 Senior Therapist Supervisor","0.018","0","0.000","0.018"
"2026-03-31 22:32:28","Facail massage 250822.docx","docx","/sites/H6323_SPOF/DPT-TH/9.1 Senior Therapist Supervisor","0.521","11","4.896","5.417"
"2026-03-31 22:32:28","Handling stress and staying healthy by MOD.docx","docx","/sites/H6323_SPOF/DPT-TH/9.1 Senior Therapist Supervisor","0.310","1","0.307","0.617"
