Scanned At,File Name,Extension,Folder Path,Current Size (MB),Version Count,Versions Size (MB),Total Size (MB)
"2026-03-31 22:05:46","Accor Plus Logo_2019_No Tagline.png","png","/sites/H6323_SPOF/DPT-PR","0.020","0","0.000","0.020"
"2026-03-31 22:05:46","ig story independence day buffet-text.mp4","mp4","/sites/H6323_SPOF/DPT-PR","27.296","0","0.000","27.296"
"2026-03-31 22:05:46","Pullman Template.docx","docx","/sites/H6323_SPOF/DPT-PR","0.103","0","0.000","0.103"
"2026-03-31 22:05:46","FACEBOOK-17.jpg","jpg","/sites/H6323_SPOF/DPT-PR","0.285","0","0.000","0.285"
"2026-03-31 22:05:46","Accor Plus Logo_2019_No Tagline.jpg","jpg","/sites/H6323_SPOF/DPT-PR","0.155","0","0.000","0.155"
"2026-03-31 22:05:47","Accor Plus Logo_2019_No Tagline.jpg","jpg","/sites/H6323_SPOF/DPT-PR/Accor Plus New Logo in Blue and White","0.155","0","0.000","0.155"
"2026-03-31 22:05:49","DPT-PR.xlsx","xlsx","/sites/H6323_SPOF/DPT-PR/Test Version","0.013","3","0.038","0.051"
"2026-03-31 22:05:49","reels-lychee-song.mp4","mp4","/sites/H6323_SPOF/DPT-PR/Sound","20.426","0","0.000","20.426"
"2026-03-31 22:05:49","LED MEETING.mp4","mp4","/sites/H6323_SPOF/DPT-PR/Sound","73.802","0","0.000","73.802"
"2026-03-31 22:05:49","ig-story-wedding showcase.mp4","mp4","/sites/H6323_SPOF/DPT-PR/Sound","15.045","0","0.000","15.045"
"2026-03-31 22:05:49","mangolicious-without text.mp4","mp4","/sites/H6323_SPOF/DPT-PR/Sound","31.459","0","0.000","31.459"
"2026-03-31 22:05:49","FACEBOOK-17.jpg","jpg","/sites/H6323_SPOF/DPT-PR/Sound","0.285","0","0.000","0.285"
"2026-03-31 22:05:49","ig-kani chawamushi.mp4","mp4","/sites/H6323_SPOF/DPT-PR/Sound","27.824","0","0.000","27.824"
"2026-03-31 22:05:49","ig story-meeting room led.mp4","mp4","/sites/H6323_SPOF/DPT-PR/Sound","31.268","0","0.000","31.268"
"2026-03-31 22:05:49","ig story-be French.mp4","mp4","/sites/H6323_SPOF/DPT-PR/Sound","62.958","0","0.000","62.958"
"2026-03-31 22:05:49","ig-suntaraporn.mp4","mp4","/sites/H6323_SPOF/DPT-PR/Sound","29.883","0","0.000","29.883"
"2026-03-31 22:05:49","afternoon tea songkran_1.mp4","mp4","/sites/H6323_SPOF/DPT-PR/Sound","25.338","0","0.000","25.338"
"2026-03-31 22:05:49","reels tenko.mp4","mp4","/sites/H6323_SPOF/DPT-PR/Sound","35.652","0","0.000","35.652"
"2026-03-31 22:05:49","TWITTER-21.jpg","jpg","/sites/H6323_SPOF/DPT-PR/Sound","0.527","0","0.000","0.527"
"2026-03-31 22:05:49","hotel presentation - Saudi Arabia-05.mp4","mp4","/sites/H6323_SPOF/DPT-PR/Sound","108.551","0","0.000","108.551"
"2026-03-31 22:05:49","cake.mp4","mp4","/sites/H6323_SPOF/DPT-PR/Sound","60.216","0","0.000","60.216"
"2026-03-31 22:05:49","ig story-pullman- tenko.mp4","mp4","/sites/H6323_SPOF/DPT-PR/Sound","33.764","0","0.000","33.764"
"2026-03-31 22:05:49","ig story-tenko-1.mp4","mp4","/sites/H6323_SPOF/DPT-PR/Sound","35.572","0","0.000","35.572"
"2026-03-31 22:05:49","ig-lychee.mp4","mp4","/sites/H6323_SPOF/DPT-PR/Sound","30.900","0","0.000","30.900"
"2026-03-31 22:05:49","mangolicious.mp4","mp4","/sites/H6323_SPOF/DPT-PR/Sound","31.634","0","0.000","31.634"
"2026-03-31 22:05:49","cpc tenko feb-in the garden.mp4","mp4","/sites/H6323_SPOF/DPT-PR/Sound","22.473","0","0.000","22.473"
"2026-03-31 22:05:50","LOGO_CHECK_FINAL.png","png","/sites/H6323_SPOF/DPT-PR/Logo/Accor","0.061","0","0.000","0.061"
"2026-03-31 22:05:50","LOGO_CHECK_FINAL.ai","ai","/sites/H6323_SPOF/DPT-PR/Logo/Accor","0.398","0","0.000","0.398"
"2026-03-31 22:05:50","KPMN_Standard_Logo-01.jpg","jpg","/sites/H6323_SPOF/DPT-PR/Logo/King Power","0.920","0","0.000","0.920"
"2026-03-31 22:05:50","KPMN_Standard_Logo.ai","ai","/sites/H6323_SPOF/DPT-PR/Logo/King Power","1.681","0","0.000","1.681"
"2026-03-31 22:05:50","Travel Together Logo white.png","png","/sites/H6323_SPOF/DPT-PR/Logo/Other","0.035","0","0.000","0.035"
"2026-03-31 22:05:52","S__9527310.jpg","jpg","/sites/H6323_SPOF/DPT-PR/Photo for sales/coffee break movie theme","0.243","0","0.000","0.243"
"2026-03-31 22:05:52","S__9527306.jpg","jpg","/sites/H6323_SPOF/DPT-PR/Photo for sales/coffee break movie theme","0.386","0","0.000","0.386"
"2026-03-31 22:05:52","S__9527305.jpg","jpg","/sites/H6323_SPOF/DPT-PR/Photo for sales/coffee break movie theme","0.406","0","0.000","0.406"
"2026-03-31 22:05:52","S__9527308.jpg","jpg","/sites/H6323_SPOF/DPT-PR/Photo for sales/coffee break movie theme","0.395","0","0.000","0.395"
"2026-03-31 22:05:52","S__9527307.jpg","jpg","/sites/H6323_SPOF/DPT-PR/Photo for sales/coffee break movie theme","0.270","0","0.000","0.270"
"2026-03-31 22:05:52","S__9527302.jpg","jpg","/sites/H6323_SPOF/DPT-PR/Photo for sales/coffee break movie theme","0.413","0","0.000","0.413"
"2026-03-31 22:05:52","S__9527304.jpg","jpg","/sites/H6323_SPOF/DPT-PR/Photo for sales/coffee break movie theme","0.400","0","0.000","0.400"
"2026-03-31 22:05:52","S__9527311.jpg","jpg","/sites/H6323_SPOF/DPT-PR/Photo for sales/coffee break movie theme","0.307","0","0.000","0.307"
"2026-03-31 22:05:52","S__9527312.jpg","jpg","/sites/H6323_SPOF/DPT-PR/Photo for sales/coffee break movie theme","0.210","0","0.000","0.210"
"2026-03-31 22:05:52","S__9527309.jpg","jpg","/sites/H6323_SPOF/DPT-PR/Photo for sales/coffee break movie theme","0.264","0","0.000","0.264"
"2026-03-31 22:05:52","K1A02617.JPG","jpg","/sites/H6323_SPOF/DPT-PR/Photo for sales/Infinity room -LED","13.963","0","0.000","13.963"
"2026-03-31 22:05:52","K1A02637.JPG","jpg","/sites/H6323_SPOF/DPT-PR/Photo for sales/Infinity room -LED","14.310","0","0.000","14.310"
"2026-03-31 22:05:52","K1A02900.JPG","jpg","/sites/H6323_SPOF/DPT-PR/Photo for sales/Infinity room -LED","16.875","0","0.000","16.875"
"2026-03-31 22:05:52","K1A02612 copy2.jpg","jpg","/sites/H6323_SPOF/DPT-PR/Photo for sales/Infinity room -LED","15.975","0","0.000","15.975"
"2026-03-31 22:05:52","K1A02879 copy2.jpg","jpg","/sites/H6323_SPOF/DPT-PR/Photo for sales/Infinity room -LED","16.774","0","0.000","16.774"
"2026-03-31 22:05:54","IMG_9656.jpg","jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/Destination","2.739","0","0.000","2.739"
"2026-03-31 22:05:54","IMG_9700.jpg","jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/Destination","1.544","0","0.000","1.544"
"2026-03-31 22:05:54","IMG_3953.JPG","jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/Destination","4.464","0","0.000","4.464"
"2026-03-31 22:05:54","IMG_9657.jpg","jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/Destination","2.586","0","0.000","2.586"
"2026-03-31 22:05:54","IMG_9693.jpg","jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/Destination","1.598","0","0.000","1.598"
"2026-03-31 22:05:54","IMG_2913.JPG","jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/Destination","9.380","0","0.000","9.380"
"2026-03-31 22:05:54","IMG_9704.jpg","jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/Destination","1.472","0","0.000","1.472"
"2026-03-31 22:05:54","IMG_9701.jpg","jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/Destination","1.214","0","0.000","1.214"
"2026-03-31 22:05:54","IMG_9721.jpg","jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/Destination","3.153","0","0.000","3.153"
"2026-03-31 22:05:54","IMG_9694.jpg","jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/Destination","1.830","0","0.000","1.830"
"2026-03-31 22:05:54","IMG_2894.JPG","jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/Destination","9.276","0","0.000","9.276"
"2026-03-31 22:05:54","IMG_2905.JPG","jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/Destination","9.441","0","0.000","9.441"
"2026-03-31 22:05:54","IMG_9655.jpg","jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/Destination","2.492","0","0.000","2.492"
"2026-03-31 22:05:54","IMG_2887.JPG","jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/Destination","13.239","0","0.000","13.239"
"2026-03-31 22:05:54","IMG_2846.JPG","jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/Destination","8.336","0","0.000","8.336"
"2026-03-31 22:05:54","IMG_9713.jpg","jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/Destination","1.762","0","0.000","1.762"
"2026-03-31 22:05:54","IMG_9723.jpg","jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/Destination","3.091","0","0.000","3.091"
"2026-03-31 22:05:54","IMG_2872.JPG","jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/Destination","6.151","0","0.000","6.151"
"2026-03-31 22:05:54","IMG_9720.jpg","jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/Destination","2.941","0","0.000","2.941"
"2026-03-31 22:05:54","IMG_9648.jpg","jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/Destination","3.042","0","0.000","3.042"
