Scanned At,File Name,Extension,Folder Path,Current Size (MB),Version Count,Versions Size (MB),Total Size (MB)
"2026-03-31 22:14:22","New  Template RM_Pullman Bangkok King Power-updated.as of 13.03.25.V.3pptx.pptx","pptx","/sites/H6323_SPOF/DPT-RM","15.606","0","0.000","15.606"
"2026-03-31 22:14:23","Infor EzRMS  Agent not sync to EZRMS 21.5.24.V.2 .xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S","0.064","0","0.000","0.064"
"2026-03-31 22:14:23","Cancellation Tracking Pullman Bangkok King Power - 2026 03 27.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S","0.032","0","0.000","0.032"
"2026-03-31 22:14:23","REV-RL Grid - ALL BRANDS AUG18.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S","0.116","0","0.000","0.116"
"2026-03-31 22:14:23","REVMAX 21.08.25.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S","0.122","2","0.241","0.362"
"2026-03-31 22:14:23","REVMAX Luxury escape reservations_summary_report.csv","csv","/sites/H6323_SPOF/DPT-RM/CHALIDA S","0.051","0","0.000","0.051"
"2026-03-31 22:14:23","PASSWORD.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S","0.031","14","0.426","0.457"
"2026-03-31 22:14:23","JUNE.docx","docx","/sites/H6323_SPOF/DPT-RM/CHALIDA S","0.095","0","0.000","0.095"
"2026-03-31 22:14:23","ma photos.jpg","jpg","/sites/H6323_SPOF/DPT-RM/CHALIDA S","3.630","0","0.000","3.630"
"2026-03-31 22:14:23","H6323-MB Package update  2024-10-07.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S","0.297","0","0.000","0.297"
"2026-03-31 22:14:23","HCM corretion needed on bathrom feature.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S","0.149","0","0.000","0.149"
"2026-03-31 22:14:23","Nationality.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S","0.054","0","0.000","0.054"
"2026-03-31 22:14:23","000_Promotion Updated .xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S","0.065","0","0.000","0.065"
"2026-03-31 22:14:23","OneDrive - ACCOR - Shortcut.lnk","lnk","/sites/H6323_SPOF/DPT-RM/CHALIDA S","0.001","0","0.000","0.001"
"2026-03-31 22:14:23","HODs KickOff meeting Revenue,Sales & Events-Key Highlight strategy 2026.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S","2.749","0","0.000","2.749"
"2026-03-31 22:14:23","Relocation 2025.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S","0.036","2","0.075","0.111"
"2026-03-31 22:14:23","31 January 2026 Guest Room Inspection List .xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/EOD","0.032","3","0.098","0.130"
"2026-03-31 22:14:23","31 January 2026 EOD Chalida.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/EOD","0.321","2","1.042","1.363"
"2026-03-31 22:14:23","DPT-RM.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/Test Version","0.013","3","0.039","0.052"
"2026-03-31 22:14:24","[EN] OPERA - PMS Golden - One pager.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ASANA PROJECT","0.298","0","0.000","0.298"
"2026-03-31 22:14:24","Learning Journey - v23072024 - Full Select.jpeg","jpeg","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ASANA PROJECT","1.722","0","0.000","1.722"
"2026-03-31 22:14:24","2025 Business Plan_KickOff_Mar 7 V.1.pptx","pptx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Board Meeting","13.291","0","0.000","13.291"
"2026-03-31 22:14:24","Revenue  Reservation  _Organization Chart.pptx","pptx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Board Meeting","1.055","0","0.000","1.055"
"2026-03-31 22:14:24","HOD template fileIV.4.5.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Board Meeting","16.951","0","0.000","16.951"
"2026-03-31 22:14:24","2025 - BUDGET Presentation Ver3 Y 2025..xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Board Meeting","1.089","0","0.000","1.089"
"2026-03-31 22:14:24","Business Plan 2024_Pullman BKK King Power.pptx","pptx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Board Meeting","6.934","0","0.000","6.934"
"2026-03-31 22:14:24","RM_ Board_Pullman Bangkok King Power.pptx","pptx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Board Meeting","3.608","0","0.000","3.608"
"2026-03-31 22:14:24","2025 Business Plan_KickOff_Mar 7 V.2.pptx","pptx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Board Meeting","13.292","0","0.000","13.292"
"2026-03-31 22:14:24","2022 - BUDGET Presentation Ver2 Y 2022.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Board Meeting","0.931","30","15.132","16.063"
"2026-03-31 22:14:24","2023 - BUDGET Presentation Ver3 Y 2023.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Board Meeting","1.074","0","0.000","1.074"
"2026-03-31 22:14:24","HOD template fileIV.4.6.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Board Meeting","17.846","7","119.862","137.708"
"2026-03-31 22:14:24","2023 - BUDGET Presentation Ver2 Y 2023.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Board Meeting","1.013","30","29.908","30.920"
"2026-03-31 22:14:24","2022 - BUDGET Presentation Ver2 20.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Board Meeting","0.381","3","1.119","1.500"
"2026-03-31 22:14:24","SOJERN.pptx","pptx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Board Meeting","0.819","0","0.000","0.819"
"2026-03-31 22:14:24","Thai Tiew Thai Breakdown .xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Breakdown","0.021","1","0.023","0.044"
"2026-03-31 22:14:24","INDIGO BREAKDOWN.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Breakdown","0.023","0","0.000","0.023"
"2026-03-31 22:14:25","Market Insight OTA Insight.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Contract","0.509","0","0.000","0.509"
"2026-03-31 22:14:25","Travelbullz Agreement .pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Contract","0.700","0","0.000","0.700"
"2026-03-31 22:14:25","SOJERN Signed_The Agreement for Pullman Bangkok King Power RD12 Net.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Contract","0.133","0","0.000","0.133"
"2026-03-31 22:14:25","TRAVELOKA Agreement.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Contract","1.053","0","0.000","1.053"
"2026-03-31 22:14:25","ACCOR Distribution Roadshow.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Contract","0.030","0","0.000","0.030"
"2026-03-31 22:14:25","TBO Dynamic  Agreement 16.12.22.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Contract","0.470","0","0.000","0.470"
"2026-03-31 22:14:25","INTOUCH DATA BI.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Contract","0.623","0","0.000","0.623"
"2026-03-31 22:14:25","OTA Insight_OD_Pullman Bangkok King Power_Countersigned.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Contract","0.292","0","0.000","0.292"
