﻿Library Name,Total Items,Size (MB),Size (GB),Last Modified
"DPT-FB",23895,27933.53,27.279,"9/5/2569 14:06:45"
"DPT-FO",78101,51424.84,50.220,"9/5/2569 14:01:27"
"DPT-GL",89071,83356.90,81.403,"9/5/2569 02:33:53"
"DPT-GM",166,628.55,0.614,"8/5/2569 10:43:51"
"DPT-HK",55317,45757.96,44.686,"9/5/2569 14:05:56"
"DPT-HOD",4,0.11,0.000,"6/7/2568 13:23:26"
"DPT-HR",36067,37813.78,36.928,"8/5/2569 20:06:50"
"DPT-IT",27183,13888.51,13.563,"9/5/2569 13:23:08"
"DPT-MK",25,299.99,0.293,"1/4/2569 17:35:01"
"DPT-NA",32625,23600.32,23.047,"9/5/2569 04:40:20"
"DPT-PR",2818,11507.75,11.238,"6/4/2569 23:24:51"
"DPT-RE",27005,11437.44,11.169,"9/5/2569 13:22:00"
"DPT-Reception",7,1.01,0.001,"17/3/2569 19:03:12"
"DPT-RM",8520,15639.31,15.273,"9/5/2569 08:12:44"
"DPT-SC",112926,138618.24,135.369,"9/5/2569 13:32:43"
"DPT-SE",19939,18065.89,17.642,"8/5/2569 09:31:33"
"DPT-SM",89413,131643.78,128.558,"9/5/2569 14:05:47"
"DPT-TE",25962,29556.47,28.864,"7/5/2569 13:59:40"
"DPT-TH",7077,6433.71,6.283,"9/5/2569 13:16:00"
"Forum",18297,33163.59,32.386,"9/5/2569 14:02:37"
"
GRAND TOTAL",654418,680771.67,664.816,""
