Scanned At,Library,File Name,Extension,Folder Path,Current Size (MB),Version Count,Versions Size (MB),Total Size (MB)
"2026-04-07 08:01:54","DPT-TH","TRIPADVISOR AND GOOGLE MY BUSSINESS REVIEW.pptx","pptx","/sites/H6323_SPOF/DPT-TH","9.854","0","0.000","9.854"
"2026-04-07 08:01:54","DPT-TH","24012024 of Pullman KP - Voucher Products TTT69 Feb 2024 (1).xlsx","xlsx","/sites/H6323_SPOF/DPT-TH","0.146","0","0.000","0.146"
"2026-04-07 08:01:54","DPT-TH","Probation .xlsx","xlsx","/sites/H6323_SPOF/DPT-TH","0.017","0","0.000","0.017"
"2026-04-07 08:01:54","DPT-TH","Training Plan of March 2025 .xlsx","xlsx","/sites/H6323_SPOF/DPT-TH","0.017","0","0.000","0.017"
"2026-04-07 08:01:54","DPT-TH","COMPLIMENTARY Neck & Shoulder Massage .docx","docx","/sites/H6323_SPOF/DPT-TH","0.424","0","0.000","0.424"
"2026-04-07 08:01:54","DPT-TH","Canteen menu Feb 2025.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH","0.024","0","0.000","0.024"
"2026-04-07 08:01:54","DPT-TH","BVLGARI Chat.txt","txt","/sites/H6323_SPOF/DPT-TH","0.001","0","0.000","0.001"
"2026-04-07 08:01:54","DPT-TH","SpaConsignmentDumdrocTrading 20Nov23.pdf","pdf","/sites/H6323_SPOF/DPT-TH","1.057","0","0.000","1.057"
"2026-04-07 08:01:54","DPT-TH","Off Peak Time.docx","docx","/sites/H6323_SPOF/DPT-TH","0.096","0","0.000","0.096"
"2026-04-07 08:01:54","DPT-TH","REVISE SOP-FITNESS AllSAFE.doc","doc","/sites/H6323_SPOF/DPT-TH","1.231","0","0.000","1.231"
"2026-04-07 08:01:54","DPT-TH","Training Plan 2024.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH","0.036","0","0.000","0.036"
"2026-04-07 08:01:55","DPT-TH","50 SPA-B2025V4.0.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/2.Budget 2025","0.093","0","0.000","0.093"
"2026-04-07 08:01:55","DPT-TH","Le Spa August 2024.pptx","pptx","/sites/H6323_SPOF/DPT-TH/4.Board meeting","1.899","0","0.000","1.899"
"2026-04-07 08:01:55","DPT-TH","~$Spa Flash sale Foot and Massage 28 Oct-5 Nov'21.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/5.Spa Report","0.000","0","0.000","0.000"
"2026-04-07 08:01:55","DPT-TH","GoWabi.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/5.Spa Report","0.137","30","4.024","4.160"
"2026-04-07 08:01:55","DPT-TH","รายการอาหาร เดือน กรกฎาคม 68.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/5.Spa Report","0.022","4","0.084","0.106"
"2026-04-07 08:01:55","DPT-TH","~$Format.xlsx","xlsx","/sites/H6323_SPOF/DPT-TH/5.Spa Report","0.000","0","0.000","0.000"
