Timestamp,File,Folder,CurrentSizeMB,HistoryVersionsMB,TotalOriginalMB,VersionsFound,PolicyApplied,VersionsDeleted,SpaceSavedMB,FinalSizeMB
"2026-04-06 22:29:26","Budget import 2024_V.1(STAFF).xlsm","/sites/H6323_SPOF/DPT-NA","0.60","7.22","7.83","12","Retention 365 Days","12","7.22","0.60"
"2026-04-06 22:29:27","Account Code 2008.Xls","/sites/H6323_SPOF/DPT-NA","0.11","0.11","0.22","1","Retention 365 Days","1","0.11","0.11"
"2026-04-06 22:29:28","10-11 Room-B2024V1.3.xlsx","/sites/H6323_SPOF/DPT-NA/_BUDGET 2024Approved Date 21-Nov-2023","0.69","0.67","1.35","1","Retention 365 Days","1","0.67","0.69"
"2026-04-06 22:29:29","60 S&M-B2024V1.3.xls","/sites/H6323_SPOF/DPT-NA/_BUDGET 2024Approved Date 21-Nov-2023","0.50","0.50","1.00","1","Retention 365 Days","1","0.50","0.50"
"2026-04-06 22:29:29","Budget import 2024_V.1(STAFF).xlsm","/sites/H6323_SPOF/DPT-NA/_BUDGET 2024Approved Date 21-Nov-2023","0.60","0.60","1.20","1","Retention 365 Days","1","0.60","0.60"
"2026-04-06 22:29:29","Cashflow - Request - 04-2023.xls","/sites/H6323_SPOF/DPT-NA/Early Bird","3.08","3.08","6.15","1","Retention 365 Days","1","3.08","3.08"
"2026-04-06 22:29:30","Co-promotion King Power.xlsx","/sites/H6323_SPOF/DPT-NA/CO-PROMOTION KING POWER GROUP","3.63","6.33","9.96","4","Retention 365 Days","4","6.33","3.63"
"2026-04-06 22:29:31","Early Bird_202312_21_ADJ.xlsb","/sites/H6323_SPOF/DPT-NA/Early Bird Data","1.43","1.39","2.82","1","Retention 365 Days","1","1.39","1.43"
"2026-04-06 22:29:31","Early Bird_2025_Budget.xlsm","/sites/H6323_SPOF/DPT-NA/Early Bird Data","1.72","1.72","3.43","1","Retention 365 Days","1","1.72","1.72"
"2026-04-06 22:29:32","Market Segment-Master Template.xls","/sites/H6323_SPOF/DPT-NA/Income Auditor","0.79","0.79","1.58","1","Retention 365 Days","1","0.79","0.79"
"2026-04-06 22:29:35","Discounts Type-2.xlsx","/sites/H6323_SPOF/DPT-NA/New POS Infrasys Folder","0.04","0.06","0.09","2","Retention 365 Days","2","0.06","0.04"
"2026-04-06 22:29:36","Countdown PoolParty 2023 (Income).xlsx","/sites/H6323_SPOF/DPT-NA/New Year 2024 Folder","0.05","0.10","0.15","2","Retention 365 Days","2","0.10","0.05"
"2026-04-06 22:29:37","BQ rate Breakdown.2023.xls","/sites/H6323_SPOF/DPT-NA/Night Report","0.04","0.16","0.21","1","Retention 365 Days","1","0.16","0.04"
"2026-04-06 22:29:38","Tenshino Income 2018-2022.xlsx","/sites/H6323_SPOF/DPT-NA/Night Report","0.02","0.08","0.10","4","Retention 365 Days","4","0.08","0.02"
"2026-04-06 22:29:41","05_QA11_Sun6_Account Inquiry (AL).xlsb","/sites/H6323_SPOF/DPT-NA/Q&A 11 Sunsystems 6.4 Night Folder","1.20","2.40","3.61","2","Retention 365 Days","2","2.40","1.20"
"2026-04-06 22:29:41","Copy of Infrasys POS Menu Item Request Exclusive Michelin Chef Pop-up Event at Tenshino.xlsx","/sites/H6323_SPOF/DPT-NA/Menu-List-Folder","0.04","0.04","0.08","1","Retention 365 Days","1","0.04","0.04"
"2026-04-06 22:29:42","Copy of Infrasys POS Menu Item Request New wine menu special Michelin chef event.xlsx","/sites/H6323_SPOF/DPT-NA/Menu-List-Folder","0.04","0.04","0.08","1","Retention 365 Days","1","0.04","0.04"
"2026-04-06 22:29:43","15_QA11_Sun6_LoadData_MS_20230913.xlsb","/sites/H6323_SPOF/DPT-NA/Q&A 11 Sunsystems 6.4 Night Folder","0.38","1.91","2.29","5","Retention 365 Days","5","1.91","0.38"
"2026-04-06 22:29:43","Other Income code 2023.xlsx","/sites/H6323_SPOF/DPT-NA/Night Report","0.14","1.56","1.70","12","Retention 365 Days","12","1.56","0.14"
"2026-04-06 22:29:43","15_QA11_Sun6_LoadData_RV_20230913.xlsb","/sites/H6323_SPOF/DPT-NA/Q&A 11 Sunsystems 6.4 Night Folder","0.38","0.38","0.76","1","Retention 365 Days","1","0.38","0.38"
"2026-04-06 22:29:44","Update Infrasys POS New item Valentine's day-2025 (003).xlsx","/sites/H6323_SPOF/DPT-NA/Menu-List-Folder","0.04","0.04","0.08","1","Retention 365 Days","1","0.04","0.04"
"2026-04-06 22:29:44","CORRECTION BANQUET 17-24-SEP-24(2).xlsx","/sites/H6323_SPOF/DPT-NA/Night Report","0.12","0.48","0.60","4","Retention 365 Days","4","0.48","0.12"
"2026-04-06 22:29:47","Infrasys POS Menu Item Request Tenko Valentine 2025 (004).xlsx","/sites/H6323_SPOF/DPT-NA/Menu-List-Folder","0.04","0.04","0.08","1","Retention 365 Days","1","0.04","0.04"
"2026-04-06 22:29:48","Infrasys POS Menu Item Request New wine menu special Michelin chef event.xlsx","/sites/H6323_SPOF/DPT-NA/Menu-List-Folder","0.04","0.04","0.08","1","Retention 365 Days","1","0.04","0.04"
"2026-04-06 22:29:49","Infrasys POS Menu Item Request Cake menu March - April 2025.xlsx","/sites/H6323_SPOF/DPT-NA/Menu-List-Folder","0.04","0.04","0.08","1","Retention 365 Days","1","0.04","0.04"
"2026-04-06 22:29:49","Spa Beauty Skin Care-Report 01-31-May-24.pdf","/sites/H6323_SPOF/DPT-NA/Spa-Folder","0.15","0.09","0.23","1","Retention 365 Days","1","0.09","0.15"
"2026-04-06 22:29:50","Spa_Daily_Report 31-08-24.xlsx","/sites/H6323_SPOF/DPT-NA/Spa-Folder","0.04","0.07","0.11","2","Retention 365 Days","2","0.07","0.04"
"2026-04-06 22:29:52","01_QA11_Sun6_LIMSSC_Standard_for_Hotels_v1.1_20231127 - Copy (2).xlsm","/sites/H6323_SPOF/DPT-NA/Q&A 11 Sunsystems 6.4 Night Folder","1.25","35.31","36.56","30","Retention 90 Days","26","30.53","6.03"
"2026-04-06 22:29:53","Correction Pool Bar 17-01-23.xlsx","/sites/H6323_SPOF/DPT-NA/Z-Keng Folder","0.05","0.10","0.15","2","Retention 365 Days","2","0.10","0.05"
"2026-04-06 22:29:54","UGREEN.docx","/sites/H6323_SPOF/DPT-NA/Z-Keng Folder","1.87","1.87","3.74","1","Retention 365 Days","1","1.87","1.87"
"2026-04-06 22:29:54","RV20231201.xlsb","/sites/H6323_SPOF/DPT-NA/Q&A 11 Sunsystems 6.4 Night Folder","0.39","1.15","1.54","3","Retention 365 Days","3","1.15","0.39"
"2026-04-06 22:29:54","RV20230901.xlsb","/sites/H6323_SPOF/DPT-NA/Q&A 11 Sunsystems 6.4 Night Folder","0.38","0.38","0.76","1","Retention 365 Days","1","0.38","0.38"
"2026-04-06 22:29:54","Copy of 9.Micros setting RS New Menu 10.4.17 (002).xls","/sites/H6323_SPOF/DPT-NA/Z-Keng Folder","0.11","0.11","0.22","1","Retention 365 Days","1","0.11","0.11"
"2026-04-06 22:29:55","16_QA11_.xlsb","/sites/H6323_SPOF/DPT-NA/Q&A 11 Sunsystems 6.4 Night Folder","0.69","0.75","1.44","1","Retention 365 Days","1","0.75","0.69"
"2026-04-06 22:29:55","(2)-Menu Request form - BQT -11-04-2023.xlsx","/sites/H6323_SPOF/DPT-NA/Z-Keng Folder","0.04","0.04","0.08","1","Retention 365 Days","1","0.04","0.04"
"2026-04-06 22:29:57","(1)รวมคำศัพท์และตัวย่อที่ใช้บ่อยในธุรกิจโรงแรม.docx","/sites/H6323_SPOF/DPT-NA/Z-Keng Folder","0.13","0.25","0.38","4","Retention 365 Days","4","0.25","0.13"
"2026-04-06 22:29:58","Accor Plus check_discount_detail (2).xlsx","/sites/H6323_SPOF/DPT-NA/Z-Keng Folder","0.03","0.05","0.08","2","Retention 365 Days","2","0.05","0.03"
"2026-04-06 22:29:58","All_Journal Listing Print - 2023.xlsx","/sites/H6323_SPOF/DPT-NA/Q&A 11 Sunsystems 6.4 Night Folder","0.08","0.54","0.62","9","Retention 365 Days","9","0.54","0.08"
"2026-04-06 22:29:59","คำศัพท์ภาษาอังกฤษในโรงแรม-02-August-24-Check.docx","/sites/H6323_SPOF/DPT-NA/Z-Keng Folder","0.02","0.08","0.11","4","Retention 365 Days","4","0.08","0.02"
"2026-04-06 22:30:00","Budget 2024.xlsb","/sites/H6323_SPOF/DPT-NA/Q&A 11 Sunsystems 6.4 Night Folder","0.68","4.08","4.76","6","Retention 365 Days","6","4.08","0.68"
"2026-04-06 22:30:01","Grow Learn & Enjoy-ประเมินผล-2022.xlsx","/sites/H6323_SPOF/DPT-NA/Z-Keng Folder","0.03","0.10","0.12","4","Retention 365 Days","4","0.10","0.03"
"2026-04-06 22:30:01","RV20230902.xlsb","/sites/H6323_SPOF/DPT-NA/Q&A 11 Sunsystems 6.4 Night Folder","0.38","0.38","0.76","1","Retention 365 Days","1","0.38","0.38"
"2026-04-06 22:30:02","MS20230902.xlsb","/sites/H6323_SPOF/DPT-NA/Q&A 11 Sunsystems 6.4 Night Folder","0.37","0.38","0.76","1","Retention 365 Days","1","0.38","0.37"
"2026-04-06 22:30:02","MEMO-Break Down BQ-10-01-2022.docx","/sites/H6323_SPOF/DPT-NA/Z-Keng Folder","0.02","0.04","0.06","2","Retention 365 Days","2","0.04","0.02"
"2026-04-06 22:30:02","16_QA11_Sun6_DRR_Accor_v2.0_20230612-Update.xlsb","/sites/H6323_SPOF/DPT-NA/Q&A 11 Sunsystems 6.4 Night Folder","0.78","0.78","1.56","1","Retention 365 Days","1","0.78","0.78"
"2026-04-06 22:30:02","Copy of Banquet Breakdown (noi).xls","/sites/H6323_SPOF/DPT-NA/Z-Keng Folder","1.25","1.25","2.50","1","Retention 365 Days","1","1.25","1.25"
"2026-04-06 22:30:03","08_QA11_Sun6_Trial Balance Report_v2.0_20230612.xlsb","/sites/H6323_SPOF/DPT-NA/Q&A 11 Sunsystems 6.4 Night Folder","0.52","0.37","0.89","1","Retention 365 Days","1","0.37","0.52"
"2026-04-06 22:30:03","สัญญาภาษาไทย (004).docx","/sites/H6323_SPOF/DPT-NA/Z-Keng Folder","0.19","0.19","0.38","1","Retention 365 Days","1","0.19","0.19"
"2026-04-06 22:30:04","เช็คลิสต์.docx","/sites/H6323_SPOF/DPT-NA/Z-Keng Folder","0.41","0.41","0.82","1","Retention 365 Days","1","0.41","0.41"
"2026-04-06 22:30:04","Budget 2023.xlsx","/sites/H6323_SPOF/DPT-NA/HOD meeting/Year 2023","0.38","0.38","0.77","1","Retention 365 Days","1","0.38","0.38"
"2026-04-06 22:30:04","Menu_item_sales_detail-09-04-23.xlsx","/sites/H6323_SPOF/DPT-NA/Z-Keng Folder","0.05","0.05","0.10","1","Retention 365 Days","1","0.05","0.05"
"2026-04-06 22:30:05","New Price Update at Cuisine 2024.xlsx","/sites/H6323_SPOF/DPT-NA/Z-Keng Folder","0.02","0.02","0.03","1","Retention 365 Days","1","0.02","0.02"
"2026-04-06 22:30:05","Cover20230902.xlsm","/sites/H6323_SPOF/DPT-NA/Q&A 11 Sunsystems 6.4 Night Folder","1.04","5.96","6.99","6","Retention 365 Days","6","5.96","1.04"
"2026-04-06 22:30:05","ศ.นพ.มานพ พิทักษ์ภากร.docx","/sites/H6323_SPOF/DPT-NA/Z-Keng Folder","0.03","0.03","0.05","1","Retention 365 Days","1","0.03","0.03"
"2026-04-06 22:30:07","Early Bird_202304_28(UPDATE).xls","/sites/H6323_SPOF/DPT-NA/Early Bird Data/Add.Infinity-BQ-Early Bird","7.21","14.42","21.63","2","Retention 365 Days","2","14.42","7.21"
"2026-04-06 22:30:07","Correction Juntion Bar-17-01-23.xlsx","/sites/H6323_SPOF/DPT-NA/Z-Keng Folder","0.06","0.29","0.35","5","Retention 365 Days","5","0.29","0.06"
"2026-04-06 22:30:09","Copy of (3)Label Box Section Auditor2011 (version 1).xls","/sites/H6323_SPOF/DPT-NA/Z-Keng Folder","0.81","2.46","3.27","3","Retention 365 Days","3","2.46","0.81"
