Timestamp,File,Folder,CurrentSizeMB,HistoryVersionsMB,TotalOriginalMB,VersionsFound,PolicyApplied,VersionsDeleted,SpaceSavedMB,FinalSizeMB
"2026-04-06 23:24:03","IMG_1764-89.jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/2022/08-August/Breakfast","1.58","0.86","2.44","1","Retention 365 Days","1","0.86","1.58"
"2026-04-06 23:24:04","IMG_0196-22.jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/2022/08-August/Tamago","4.05","0.87","4.92","1","Retention 365 Days","1","0.87","4.05"
"2026-04-06 23:24:04","IMG_0193-20.jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/2022/08-August/Tamago","3.38","0.82","4.21","1","Retention 365 Days","1","0.82","3.38"
"2026-04-06 23:24:05","IMG_0185-15.jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/2022/08-August/Tamago","3.92","0.97","4.89","1","Retention 365 Days","1","0.97","3.92"
"2026-04-06 23:24:06","IMG_0183-13.jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/2022/08-August/Tamago","3.73","0.73","4.46","1","Retention 365 Days","1","0.73","3.73"
"2026-04-06 23:24:06","IMG_0173-6.jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/2022/08-August/Tamago","4.60","0.83","5.43","1","Retention 365 Days","1","0.83","4.60"
"2026-04-06 23:24:08","IMG_9698.jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/2022/11-November/christmas tenshino","1.43","1.12","2.55","1","Retention 365 Days","1","1.12","1.43"
"2026-04-06 23:24:09","IMG_8160-11.jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/2022/11-November/festive tenko","9.35","9.50","18.85","1","Retention 365 Days","1","9.50","9.35"
"2026-04-06 23:24:09","IMG_9753.jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/2022/11-November/christmas tenshino","3.76","1.49","5.24","1","Retention 365 Days","1","1.49","3.76"
"2026-04-06 23:24:09","IMG_9319.jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/2022/11-November/hamper","11.68","11.78","23.46","1","Retention 365 Days","1","11.78","11.68"
"2026-04-06 23:24:09","IMG_8164-12.jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/2022/11-November/festive tenko","9.66","9.62","19.28","1","Retention 365 Days","1","9.62","9.66"
"2026-04-06 23:24:12","IMG_9556.jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/2022/12-December/tamago anniversary","5.58","0.56","6.13","1","Retention 365 Days","1","0.56","5.58"
"2026-04-06 23:24:29","S08_0033 B.jpg","/sites/H6323_SPOF/DPT-PR/PR Photo/2023/event/sabuywedding/resize","1.30","1.31","2.61","1","Retention 365 Days","1","1.31","1.30"
"2026-04-06 23:24:32","IMG_7905 (2).jpg","/sites/H6323_SPOF/DPT-PR/PR Photo/2023/event/sabuywedding/resize","0.33","0.52","0.86","1","Retention 365 Days","1","0.52","0.33"
"2026-04-06 23:24:32","IMG_1347-2.jpg","/sites/H6323_SPOF/DPT-PR/Promotion Photo/2023/01 JAN/SMOOTIES/1","1.63","0.73","2.36","1","Retention 365 Days","1","0.73","1.63"
"2026-04-06 23:24:33","_DSC7650-2.jpg","/sites/H6323_SPOF/DPT-PR/PR Photo/2023/event/sabuywedding/resize","0.12","0.12","0.23","1","Retention 365 Days","1","0.12","0.12"
"2026-04-06 23:24:33","_DSC7799-2.jpg","/sites/H6323_SPOF/DPT-PR/PR Photo/2023/event/sabuywedding/resize","0.11","0.11","0.22","1","Retention 365 Days","1","0.11","0.11"
"2026-04-06 23:24:34","S20_9487 F.jpg","/sites/H6323_SPOF/DPT-PR/PR Photo/2023/event/sabuywedding/resize","0.52","0.52","1.04","1","Retention 365 Days","1","0.52","0.52"
